Disease,Doctor Name,,User Rating,City,State,Hospital,Available Time Slots
Fungal infection,Darlene Anderson,,1.2,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"15:00 - 16:00, 17:00 - 18:00, 9:00 - 10:00"
Fungal infection,David Wright,,2.6,Delhi,Delhi,All India Institute of Medical Sciences,"8:00 - 9:00, 13:00 - 14:00, 17:00 - 18:00"
Fungal infection,Marcus Golden,,2.3,Bangalore,Karnataka,Manipal Hospital,"8:00 - 9:00, 9:00 - 10:00, 11:00 - 12:00"
Fungal infection,Geoffrey Jordan,,3,Hyderabad,Telangana,Apollo Health City,"15:00 - 16:00, 9:00 - 10:00, 11:00 - 12:00"
Allergy,John Cruz DDS,,1.5,Kolkata,West Bengal,Fortis Hospital,"16:00 - 17:00, 14:00 - 15:00, 8:00 - 9:00"
Allergy,Patricia Delgado MD,,4.1,Chennai,Tamil Nadu,Apollo Hospitals,"9:00 - 10:00, 16:00 - 17:00, 13:00 - 14:00"
Allergy,Cody Kaiser,,3.3,Ahmedabad,Gujarat,Sterling Hospital,"14:00 - 15:00, 17:00 - 18:00, 15:00 - 16:00"
Allergy,Stephen Nielsen,,1.7,Pune,Maharashtra,Jehangir Hospital,"13:00 - 14:00, 17:00 - 18:00, 8:00 - 9:00"
GERD,Michael Flores,,4.4,Surat,Gujarat,New Civil Hospital,"10:00 - 11:00, 13:00 - 14:00, 14:00 - 15:00"
GERD,Dawn Davis,,3.7,Jaipur,Rajasthan,Fortis Escorts Hospital,"8:00 - 9:00, 10:00 - 11:00, 13:00 - 14:00"
GERD,Derek Daugherty III,,3.9,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"12:00 - 13:00, 10:00 - 11:00, 13:00 - 14:00"
GERD,Patricia Webster,,1.5,Kanpur,Uttar Pradesh,Regency Hospital Limited,"17:00 - 18:00, 11:00 - 12:00, 15:00 - 16:00"
GERD,Cameron Perry,,1.5,Nagpur,Maharashtra,New Era Hospital,"17:00 - 18:00, 16:00 - 17:00, 10:00 - 11:00"
Chronic cholestasis,Sarah Fritz,,1.8,Indore,Madhya Pradesh,Bombay Hospital,"11:00 - 12:00, 15:00 - 16:00, 17:00 - 18:00"
Chronic cholestasis,Ryan Johnson,,4.2,Thane,Maharashtra,Jupiter Hospital,"12:00 - 13:00, 10:00 - 11:00, 13:00 - 14:00"
Chronic cholestasis,Alan Wade,,4.6,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"12:00 - 13:00, 10:00 - 11:00, 15:00 - 16:00"
Drug Reaction,Samantha Leon,,4.9,Delhi,Delhi,All India Institute of Medical Sciences,"16:00 - 17:00, 10:00 - 11:00, 17:00 - 18:00"
Drug Reaction,Stuart Gardner,,3.2,Bangalore,Karnataka,Manipal Hospital,"12:00 - 13:00, 13:00 - 14:00, 10:00 - 11:00"
Drug Reaction,Matthew Parks,,1.2,Hyderabad,Telangana,Apollo Health City,"14:00 - 15:00, 10:00 - 11:00, 16:00 - 17:00"
Drug Reaction,Ms. Susan Hernandez,,4.7,Kolkata,West Bengal,Fortis Hospital,"14:00 - 15:00, 11:00 - 12:00, 9:00 - 10:00"
Peptic ulcer diseae,James Blackwell,,2.1,Chennai,Tamil Nadu,Apollo Hospitals,"13:00 - 14:00, 9:00 - 10:00, 10:00 - 11:00"
Peptic ulcer diseae,Nicholas Serrano,,2.8,Ahmedabad,Gujarat,Sterling Hospital,"10:00 - 11:00, 9:00 - 10:00, 11:00 - 12:00"
Peptic ulcer diseae,Brandy Hansen,,2.6,Pune,Maharashtra,Jehangir Hospital,"17:00 - 18:00, 12:00 - 13:00, 11:00 - 12:00"
Peptic ulcer diseae,Jeff Hubbard,,3.5,Surat,Gujarat,New Civil Hospital,"11:00 - 12:00, 12:00 - 13:00, 8:00 - 9:00"
Peptic ulcer diseae,Carla Walker,,3.2,Jaipur,Rajasthan,Fortis Escorts Hospital,"13:00 - 14:00, 12:00 - 13:00, 14:00 - 15:00"
AIDS,Michael Rubio,,2.7,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"12:00 - 13:00, 14:00 - 15:00, 11:00 - 12:00"
AIDS,Laurie Lopez,,3.7,Kanpur,Uttar Pradesh,Regency Hospital Limited,"16:00 - 17:00, 8:00 - 9:00, 13:00 - 14:00"
AIDS,Jennifer Edwards,,2.7,Nagpur,Maharashtra,New Era Hospital,"9:00 - 10:00, 10:00 - 11:00, 11:00 - 12:00"
AIDS,Tyler Cordova,,4.2,Indore,Madhya Pradesh,Bombay Hospital,"10:00 - 11:00, 12:00 - 13:00, 11:00 - 12:00"
AIDS,Craig Perez,,1.6,Thane,Maharashtra,Jupiter Hospital,"8:00 - 9:00, 17:00 - 18:00, 15:00 - 16:00"
Diabetes,James Bennett,,4.2,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"17:00 - 18:00, 12:00 - 13:00, 13:00 - 14:00"
Diabetes,Harry Porter,,4.4,Delhi,Delhi,All India Institute of Medical Sciences,"14:00 - 15:00, 11:00 - 12:00, 9:00 - 10:00"
Diabetes,Sarah Lopez,,3.3,Bangalore,Karnataka,Manipal Hospital,"13:00 - 14:00, 12:00 - 13:00, 16:00 - 17:00"
Gastroenteritis,Jennifer Taylor,,3.6,Hyderabad,Telangana,Apollo Health City,"16:00 - 17:00, 10:00 - 11:00, 14:00 - 15:00"
Gastroenteritis,Daniel Rubio,,3.8,Kolkata,West Bengal,Fortis Hospital,"10:00 - 11:00, 17:00 - 18:00, 9:00 - 10:00"
Gastroenteritis,Alexander Cross,,3.9,Chennai,Tamil Nadu,Apollo Hospitals,"13:00 - 14:00, 17:00 - 18:00, 8:00 - 9:00"
Bronchial Asthma,Stephanie Smith,,3.7,Ahmedabad,Gujarat,Sterling Hospital,"13:00 - 14:00, 14:00 - 15:00, 15:00 - 16:00"
Bronchial Asthma,Jennifer Gonzalez,,2.1,Pune,Maharashtra,Jehangir Hospital,"15:00 - 16:00, 9:00 - 10:00, 8:00 - 9:00"
Bronchial Asthma,Grace Munoz,,2.7,Surat,Gujarat,New Civil Hospital,"12:00 - 13:00, 15:00 - 16:00, 10:00 - 11:00"
Bronchial Asthma,Michael Ward,,4.9,Jaipur,Rajasthan,Fortis Escorts Hospital,"8:00 - 9:00, 12:00 - 13:00, 17:00 - 18:00"
Bronchial Asthma,Cameron Perry,,1.3,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"10:00 - 11:00, 14:00 - 15:00, 15:00 - 16:00"
Hypertension,Casey Graves,,4.3,Kanpur,Uttar Pradesh,Regency Hospital Limited,"14:00 - 15:00, 17:00 - 18:00, 13:00 - 14:00"
Hypertension,Margaret Stark,,3.4,Nagpur,Maharashtra,New Era Hospital,"14:00 - 15:00, 8:00 - 9:00, 13:00 - 14:00"
Hypertension,Brandi Hamilton,,3.5,Indore,Madhya Pradesh,Bombay Hospital,"13:00 - 14:00, 15:00 - 16:00, 8:00 - 9:00"
Migraine,Kimberly Baldwin,,3.3,Thane,Maharashtra,Jupiter Hospital,"13:00 - 14:00, 10:00 - 11:00, 11:00 - 12:00"
Migraine,Tiffany Petty,,3.2,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"14:00 - 15:00, 17:00 - 18:00, 8:00 - 9:00"
Migraine,Angelica Farmer,,4.3,Delhi,Delhi,All India Institute of Medical Sciences,"12:00 - 13:00, 11:00 - 12:00, 17:00 - 18:00"
Cervical spondylosis,Norman Anderson,,3.3,Bangalore,Karnataka,Manipal Hospital,"10:00 - 11:00, 12:00 - 13:00, 17:00 - 18:00"
Cervical spondylosis,James King,,2.7,Hyderabad,Telangana,Apollo Health City,"11:00 - 12:00, 12:00 - 13:00, 9:00 - 10:00"
Cervical spondylosis,Bryan Hayden,,4.6,Kolkata,West Bengal,Fortis Hospital,"9:00 - 10:00, 8:00 - 9:00, 16:00 - 17:00"
Cervical spondylosis,Jennifer Faulkner,,1.6,Chennai,Tamil Nadu,Apollo Hospitals,"11:00 - 12:00, 17:00 - 18:00, 15:00 - 16:00"
Paralysis (brain hemorrhage),Angela Davis,,2,Ahmedabad,Gujarat,Sterling Hospital,"12:00 - 13:00, 8:00 - 9:00, 16:00 - 17:00"
Paralysis (brain hemorrhage),Kerry Martinez,,3.4,Pune,Maharashtra,Jehangir Hospital,"17:00 - 18:00, 12:00 - 13:00, 10:00 - 11:00"
Paralysis (brain hemorrhage),Jose Maddox,,2.3,Surat,Gujarat,New Civil Hospital,"12:00 - 13:00, 11:00 - 12:00, 14:00 - 15:00"
Paralysis (brain hemorrhage),Whitney Berg,,3,Jaipur,Rajasthan,Fortis Escorts Hospital,"15:00 - 16:00, 17:00 - 18:00, 12:00 - 13:00"
Jaundice,Allison Evans,,1,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"14:00 - 15:00, 11:00 - 12:00, 10:00 - 11:00"
Jaundice,Aaron Ward,,4,Kanpur,Uttar Pradesh,Regency Hospital Limited,"15:00 - 16:00, 12:00 - 13:00, 17:00 - 18:00"
Jaundice,Jamie Duncan,,4.9,Nagpur,Maharashtra,New Era Hospital,"16:00 - 17:00, 12:00 - 13:00, 15:00 - 16:00"
Malaria,Laura Powell,,1.1,Indore,Madhya Pradesh,Bombay Hospital,"14:00 - 15:00, 10:00 - 11:00, 15:00 - 16:00"
Malaria,Anthony Hale,,5,Thane,Maharashtra,Jupiter Hospital,"16:00 - 17:00, 10:00 - 11:00, 15:00 - 16:00"
Malaria,Shannon Parker,,3.4,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"15:00 - 16:00, 9:00 - 10:00, 14:00 - 15:00"
Chicken pox,Linda Watson,,4.2,Delhi,Delhi,All India Institute of Medical Sciences,"17:00 - 18:00, 12:00 - 13:00, 8:00 - 9:00"
